Photon Energy (eV),Absorption Intensity
31.9927,0.972251246
32.0612,0.972777964
32.1297,0.973489403
32.1982,0.974388801
32.2667,0.975454881
32.3352,0.97639455
32.4037,0.976967844
32.4722,0.977163342
32.5407,0.977274909
32.6092,0.977481634
32.6778,0.97777966
32.7463,0.97823987
32.8148,0.978731406
32.8833,0.979157757
32.9518,0.979479216
33.0203,0.979818428
33.0888,0.98013624
33.1573,0.980277875
33.2258,0.980361546
33.2943,0.980531668
33.3628,0.980707442
33.4313,0.980932504
33.4998,0.981235556
33.5683,0.981423374
33.6368,0.981405219
33.7054,0.981374914
33.7739,0.981433606
33.8424,0.981564684
33.9109,0.981776847
33.9794,0.982036013
34.0479,0.982293113
34.1164,0.982525005
34.1849,0.982730714
34.2534,0.982898824
34.3219,0.98312813
34.3904,0.983421278
34.4589,0.98367388
34.5274,0.983853399
34.5959,0.9839971
34.6644,0.98413625
34.733,0.984301306
34.8015,0.984532805
34.87,0.984802918
34.9385,0.985090183
35.007,0.985330809
35.0755,0.985489229
35.144,0.985574209
35.2125,0.98570549
35.281,0.985963117
35.3495,0.986202242
35.418,0.986299225
35.4865,0.98631412
35.555,0.986328965
35.6235,0.986405335
35.6921,0.986491874
35.7606,0.986565277
35.8291,0.986627826
35.8976,0.986667189
35.9661,0.986685831
36.0346,0.986702779
36.1031,0.986769864
36.1716,0.986833922
36.2401,0.986831971
36.3086,0.986832809
36.3771,0.986918871
36.4456,0.987098691
36.5141,0.987227349
36.5826,0.987290497
36.6511,0.987384471
36.7197,0.987534247
36.7882,0.987690493
36.8567,0.98785682
36.9252,0.988040113
36.9937,0.988163801
37.0622,0.988179848
37.1307,0.988043307
37.1992,0.987850533
37.2677,0.987758552
37.3362,0.98779797
37.4047,0.987881941
37.4732,0.987923076
37.5417,0.987918036
37.6102,0.987961217
37.6787,0.988046248
37.7473,0.98807159
37.8158,0.98808505
37.8843,0.988175429
37.9528,0.988368541
38.0213,0.98858866
38.0898,0.988700484
38.1583,0.988689377
38.2268,0.988656409
38.2953,0.988633856
38.3638,0.988634249
38.4323,0.988633476
38.5008,0.988594873
38.5693,0.988448123
38.6378,0.988306169
38.7064,0.98822197
38.7749,0.988141843
38.8434,0.988154054
38.9119,0.988293667
38.9804,0.988445811
39.0489,0.988532309
39.1174,0.988574529
39.1859,0.988589496
39.2544,0.988568637
39.3229,0.988513492
39.3914,0.988375135
39.4599,0.98820766
39.5284,0.988145561
39.5969,0.988213542
39.6654,0.98830643
39.734,0.988394866
39.8025,0.988507473
39.871,0.988653082
39.9395,0.988773362
40.008,0.988808564
40.0765,0.988745963
40.145,0.988636361
40.2135,0.988560848
40.282,0.988641769
40.3505,0.98882773
40.419,0.988914594
40.4875,0.988825865
40.556,0.988636114
40.6245,0.988505688
40.693,0.988511997
40.7616,0.988569614
40.8301,0.988526394
40.8986,0.988390128
40.9671,0.988244345
41.0356,0.988187242
41.1041,0.988238478
41.1726,0.988263851
41.2411,0.988283062
41.3096,0.988362711
41.3781,0.988423076
41.4466,0.988421215
41.5151,0.988356832
41.5836,0.988283756
41.6521,0.988235273
41.7207,0.98821089
41.7892,0.988260538
41.8577,0.988371123
41.9262,0.988543526
41.9947,0.98869841
42.0632,0.988719795
42.1317,0.988679736
42.2002,0.988671739
42.2687,0.988675987
42.3372,0.98860477
42.4057,0.988535436
42.4742,0.988518596
42.5427,0.988476884
42.6112,0.988408054
42.6797,0.988380731
42.7483,0.988416287
42.8168,0.988472545
42.8853,0.988453035
42.9538,0.988396175
43.0223,0.988336873
43.0908,0.988342229
43.1593,0.988468442
43.2278,0.98858526
43.2963,0.988574991
43.3648,0.988426179
43.4333,0.988270708
43.5018,0.988156924
43.5703,0.988121425
43.6388,0.988115934
43.7073,0.988021499
43.7759,0.987941419
43.8444,0.987904167
43.9129,0.987919259
43.9814,0.987981681
44.0499,0.988047075
44.1184,0.988081478
44.1869,0.988101487
44.2554,0.988060692
44.3239,0.987952421
44.3924,0.987857032
44.4609,0.987800664
44.5294,0.987747287
44.5979,0.98772087
44.6664,0.987716568
44.735,0.987697859
44.8035,0.98766167
